¿En qué presentación sueles comprar tu kola granulada;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿En qué lugar sueles sueles comprar la kola granulada?;Que presentación acostumbras a comprar en la tienda?;¿Que presentación acostumbras comprar en el supermercado?;¿Que presentación acostumbras comprar en la tienda?;¿Que presentación acostumbras comprar en la drogueria?;¿Con que frecuencia realizas la compra de tu kola granulada?
Sobre 400g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Sobre (sachet) 25 gr;;;;Cada 15 días
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Bipack (2 Tarros X 135 gr);;A diario
Tarro 200g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Sobre 15 g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 30g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Otro ¿cual?
Sobre 250g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 250g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En una droguería;;;;Tarro 135 gr;Cada 15 días
Sobre 15 g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;Otro ¿cual?
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Tarro 380g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Sobre 250g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Sobre 100g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
